Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2022,ALASKA,"CRAB, KING **",4526178.00,2053.00,46627607.00,Public,Commercial,Paralithodes,97934,AKFIN
2022,ALASKA,"CRAB, SNOW",5476142.00,2484.00,39184752.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2022,ALASKA,"CRAB, SOUTHERN TANNER",4803887.00,2179.00,34691680.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2021,ALASKA,"CRAB, KING **",6029355.00,2735.00,75015671.00,Public,Commercial,Paralithodes,97934,AKFIN
2021,ALASKA,"CRAB, SNOW",44135849.00,20020.00,219165813.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2021,ALASKA,"CRAB, SOUTHERN TANNER",2252395.00,1022.00,11163481.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2020,ALASKA,"CRAB, KING **",8509109.00,3860.00,72436633.00,Public,Commercial,Paralithodes,97934,AKFIN
2020,ALASKA,"CRAB, SNOW",33606698.00,15244.00,132287850.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2020,ALASKA,"CRAB, SOUTHERN TANNER",2316010.00,1051.00,8998281.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2019,ALASKA,"CRAB, KING **",10816176.00,4906.00,67553895.00,Public,Commercial,Paralithodes,97934,AKFIN
2019,ALASKA,"CRAB, SNOW",27260061.00,12365.00,82266758.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2019,ALASKA,"CRAB, SOUTHERN TANNER",3194274.00,1449.00,11320543.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2018,ALASKA,"CRAB, KING **",11169792.00,5067.00,82103813.00,Public,Commercial,Paralithodes,97934,AKFIN
2018,ALASKA,"CRAB, SNOW",18839294.00,8545.00,71239438.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2018,ALASKA,"CRAB, SOUTHERN TANNER",4023199.00,1825.00,15541305.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2017,ALASKA,"CRAB, KING **",12890338.00,5847.00,89537303.00,Public,Commercial,Paralithodes,97934,AKFIN
2017,ALASKA,"CRAB, SNOW",21319734.00,9671.00,69063942.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2017,ALASKA,"CRAB, SOUTHERN TANNER",2392195.00,1085.00,7900942.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2016,ALASKA,"CRAB, KING **",14578841.00,6613.00,104600500.00,Public,Commercial,Paralithodes,97934,AKFIN
2016,ALASKA,"CRAB, SNOW",39573607.00,17950.00,79923729.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2016,ALASKA,"CRAB, SOUTHERN TANNER",11770447.00,5339.00,25938972.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2015,ALASKA,"CRAB, KING **",16296362.00,7392.00,107904204.00,Public,Commercial,Paralithodes,97934,AKFIN
2015,ALASKA,"CRAB, SNOW",60911842.00,27629.00,124614335.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2015,ALASKA,"CRAB, SOUTHERN TANNER",16430059.00,7453.00,35595660.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2014,ALASKA,"CRAB, KING **",16654062.00,7554.00,85535158.00,Public,Commercial,Paralithodes,97934,AKFIN
2014,ALASKA,"CRAB, SNOW",53796368.00,24402.00,115365728.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2014,ALASKA,"CRAB, SOUTHERN TANNER",9306963.00,4222.00,20874508.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2013,ALASKA,"CRAB, KING **",15433171.00,7000.00,82869603.00,Public,Commercial,Paralithodes,97934,AKFIN
2013,ALASKA,"CRAB, SNOW",65487422.00,29705.00,132369655.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2013,ALASKA,"CRAB, SOUTHERN TANNER",3449261.00,1565.00,8106713.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2012,ALASKA,"CRAB, KING **",16356921.00,7419.00,99888197.00,Public,Commercial,Paralithodes,97934,AKFIN
2012,ALASKA,"CRAB, SNOW",88225773.00,40019.00,190433965.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2012,ALASKA,"CRAB, SOUTHERN TANNER",4765471.00,2162.00,12168557.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2011,ALASKA,"CRAB, KING **",16996850.00,7710.00,129286557.00,Public,Commercial,Paralithodes,97934,AKFIN
2011,ALASKA,"CRAB, SNOW",54049614.00,24517.00,137252235.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2011,ALASKA,"CRAB, SOUTHERN TANNER",5966225.00,2706.00,16006150.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2010,ALASKA,"CRAB, KING **",24041460.00,10905.00,146094913.00,Public,Commercial,Paralithodes,97934,AKFIN
2010,ALASKA,"CRAB, SNOW",47839212.00,21700.00,62507867.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2010,ALASKA,"CRAB, SOUTHERN TANNER",2633554.00,1195.00,4311296.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2009,ALASKA,"CRAB, KING **",22390526.00,10156.00,88591627.00,Public,Commercial,Paralithodes,97934,AKFIN
2009,ALASKA,"CRAB, SNOW",58089302.00,26349.00,81137926.00,Public,Commercial,Chionoecetes opilio,98428,AKFIN
2009,ALASKA,"CRAB, SOUTHERN TANNER",3440714.00,1561.00,5538626.00,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
