"parameter","index","start_value"
"log_n_imm",1,15.7668280475487
"log_n_imm",2,19.5492091269886
"log_n_imm",3,18.4091325035631
"log_n_imm",4,19.2870702434857
"log_n_imm",5,19.3478942832831
"log_n_imm",6,20.0948022385356
"log_n_imm",7,21.1470376196131
"log_n_imm",8,20.3974794170855
"log_n_imm",9,19.7099722681785
"log_n_imm",10,17.496120091658
"log_n_imm",11,18.2801901925388
"log_n_imm",12,15.1007036088985
"log_n_imm",13,17.8091398786544
"log_n_imm",14,15.6971349278342
"log_n_imm",15,14.2587488988498
"log_n_imm",16,16.2587621173311
"log_n_imm",17,12.2648979541133
"log_n_imm",18,11.7709880213468
"log_n_imm",19,9.94929612922681
"log_n_imm",20,6.60759169594933
"log_n_imm",21,6.69778778764785
"log_n_mat",1,20.2260758514503
"log_n_mat",2,12.4652401969747
"log_n_mat",3,15.6836455491744
"log_n_mat",4,22.2810607125352
"log_n_mat",5,20.241926386873
"log_n_mat",6,21.5868712879346
"log_n_mat",7,16.8337085787472
"log_n_mat",8,22.2821405975321
"log_n_mat",9,18.3407615075792
"log_n_mat",10,21.2908726829338
"log_n_mat",11,14.7019215366349
"log_n_mat",12,19.0492306498685
"log_n_mat",13,20.4454494279995
"log_n_mat",14,17.9223193431336
"log_n_mat",15,18.5954971759198
"log_n_mat",16,19.8966948621764
"log_n_mat",17,14.0077357135941
"log_n_mat",18,16.722706796418
"log_n_mat",19,13.0694153983915
"log_n_mat",20,12.3205527988996
"log_n_mat",21,11.9042507110485
"nat_m_dev",1,-0.338910295200025
"nat_m_dev",2,-0.259267172353093
"nat_m_dev",3,-0.593707056814912
"nat_m_dev",4,-1.17633655833226
"nat_m_dev",5,-0.809754448841668
"nat_m_dev",6,-0.670267785930681
"nat_m_dev",7,-0.613014560335523
"nat_m_dev",8,-0.370211099962205
"nat_m_dev",9,-0.0467925904176441
"nat_m_dev",10,0.0710266453932198
"nat_m_dev",11,-0.410880378479709
"nat_m_dev",12,0.167691393288822
"nat_m_dev",13,0.0458749002767465
"nat_m_dev",14,0.116527622297566
"nat_m_dev",15,0.324726699460252
"nat_m_dev",16,0.682563913970715
"nat_m_dev",17,0.165092460667612
"nat_m_dev",18,-0.836904703932201
"nat_m_dev",19,-0.493775985620798
"nat_m_dev",20,0.00421557300384304
"nat_m_dev",21,0.0216990935766946
"nat_m_dev",22,-0.273564121980053
"nat_m_dev",23,0.0794410336307024
"nat_m_dev",24,-0.520896137676951
"nat_m_dev",25,-0.546465741761134
"nat_m_dev",26,-0.310942544709849
"nat_m_dev",27,-0.423932423551345
"nat_m_dev",28,-0.311948986045682
"nat_m_dev",29,0.366341185929396
"nat_m_dev",30,0.374765836324477
