"parameter","index","start_value"
"log_n_imm",1,21.7449832562516
"log_n_imm",2,20.9866239037484
"log_n_imm",3,17.1203341978592
"log_n_imm",4,20.4336267602046
"log_n_imm",5,20.3386932190986
"log_n_imm",6,19.4528195425762
"log_n_imm",7,23.1212559512874
"log_n_imm",8,21.7383709201941
"log_n_imm",9,18.5594791955255
"log_n_imm",10,19.7184795916067
"log_n_imm",11,20.0629887231818
"log_n_imm",12,20.5988555691743
"log_n_imm",13,16.6872745872218
"log_n_imm",14,20.1972387675341
"log_n_imm",15,14.542141111278
"log_n_imm",16,11.8257809706981
"log_n_imm",17,9.87551843707964
"log_n_imm",18,11.3631618954087
"log_n_imm",19,11.2814993061999
"log_n_imm",20,8.02976711833186
"log_n_imm",21,6.16442100349993
"log_n_mat",1,15.2893595319386
"log_n_mat",2,12.282337715115
"log_n_mat",3,16.0248541802798
"log_n_mat",4,15.3712518248949
"log_n_mat",5,22.8701662755378
"log_n_mat",6,16.71197464465
"log_n_mat",7,21.0419228005881
"log_n_mat",8,22.0629481544057
"log_n_mat",9,22.1946650306347
"log_n_mat",10,16.5555891645074
"log_n_mat",11,20.4942755923432
"log_n_mat",12,18.0068564604666
"log_n_mat",13,17.657440964176
"log_n_mat",14,19.6022608363636
"log_n_mat",15,17.8819066896985
"log_n_mat",16,20.7154650117278
"log_n_mat",17,15.9716667660881
"log_n_mat",18,18.6621677827273
"log_n_mat",19,14.9782584559086
"log_n_mat",20,13.0620163429565
"log_n_mat",21,10.913856134676
"nat_m_dev",1,-0.260736426867823
"nat_m_dev",2,-0.370809329687649
"nat_m_dev",3,-0.885893499879346
"nat_m_dev",4,-0.942943446742774
"nat_m_dev",5,-1.01892698583074
"nat_m_dev",6,-0.858840450358713
"nat_m_dev",7,-0.344465232919047
"nat_m_dev",8,-0.282696429734625
"nat_m_dev",9,0.215305043592628
"nat_m_dev",10,0.362748778808014
"nat_m_dev",11,-0.456894539641047
"nat_m_dev",12,0.0675948647143107
"nat_m_dev",13,-0.117751913544795
"nat_m_dev",14,0.163533940781571
"nat_m_dev",15,0.620662665511376
"nat_m_dev",16,0.678927323926829
"nat_m_dev",17,0.286671568624382
"nat_m_dev",18,-0.870064324461458
"nat_m_dev",19,-0.640191511083882
"nat_m_dev",20,0.246644424053067
"nat_m_dev",21,-0.0166746977954877
"nat_m_dev",22,-0.241901681353458
"nat_m_dev",23,-0.290886816687096
"nat_m_dev",24,-0.0603274153200168
"nat_m_dev",25,-0.177367622360996
"nat_m_dev",26,-0.295090261856294
"nat_m_dev",27,-0.497357033762396
"nat_m_dev",28,-0.408687734604435
"nat_m_dev",29,0.313352195611652
"nat_m_dev",30,0.444479635949789
"nat_m_dev",31,-0.0910739300535781
"nat_m_dev",32,-0.366781967798889
"nat_m_dev",33,0.657809651826105
"nat_m_dev",34,0.706448688942347
"nat_m_dev",35,-0.233142187683986
"nat_m_dev",36,-0.141768295761213
"nat_m_dev",37,0.931900470955583
"nat_m_dev",38,1.89385827999263
"nat_m_dev",39,-0.24720941878408
"nat_m_dev",40,-0.883538694962987
"nat_m_dev",41,-0.0877123183737224
"nat_m_dev",42,0.460202717421897
"nat_m_mat_dev",1,-0.171192213599815
"nat_m_mat_dev",2,0.376302847247034
"nat_m_mat_dev",3,1.31037528990346
"nat_m_mat_dev",4,-0.753668962059834
"nat_m_mat_dev",5,-1.05754642520835
"nat_m_mat_dev",6,-0.956299266587876
"nat_m_mat_dev",7,-0.339584820039091
"nat_m_mat_dev",8,-0.0953010182951322
"nat_m_mat_dev",9,0.516442683572461
"nat_m_mat_dev",10,1.00833704086901
"nat_m_mat_dev",11,0.271007726928709
"nat_m_mat_dev",12,0.188898324599211
"nat_m_mat_dev",13,0.113349131626651
"nat_m_mat_dev",14,0.368524023869491
"nat_m_mat_dev",15,0.642253738393393
"nat_m_mat_dev",16,0.662756698923577
"nat_m_mat_dev",17,0.7520252563362
"nat_m_mat_dev",18,-0.329165191826858
"nat_m_mat_dev",19,-0.485069805449229
"nat_m_mat_dev",20,0.152734638394415
"nat_m_mat_dev",21,0.223221418385034
"nat_m_mat_dev",22,-0.314396566046294
"nat_m_mat_dev",23,-0.578119107973105
"nat_m_mat_dev",24,0.383271670611433
"nat_m_mat_dev",25,0.940093922937947
"nat_m_mat_dev",26,0.735885338117986
"nat_m_mat_dev",27,0.0172477604142651
"nat_m_mat_dev",28,-0.467002885132485
"nat_m_mat_dev",29,-0.870110472243185
"nat_m_mat_dev",30,-0.00871085252017018
"nat_m_mat_dev",31,0.701782071316046
"nat_m_mat_dev",32,0.0397216327291344
"nat_m_mat_dev",33,0.630118611744745
"nat_m_mat_dev",34,0.411768497173633
"nat_m_mat_dev",35,0.301851495835151
"nat_m_mat_dev",36,-0.0217790572201415
"nat_m_mat_dev",37,0.498576993612739
"nat_m_mat_dev",38,1.30934981162525
"nat_m_mat_dev",39,-0.251297619746188
"nat_m_mat_dev",40,0.666478321868972
"nat_m_mat_dev",41,-0.426306296954329
"nat_m_mat_dev",42,-0.985152241953845
"nat_m_lg_dev",1,0.029537222777762
"nat_m_lg_dev",2,-0.0481986638264106
"nat_m_lg_dev",3,0.0607087308279222
"nat_m_lg_dev",4,0.0364673310964707
"nat_m_lg_dev",5,0.13901529319363
"nat_m_lg_dev",6,0.0343144362989199
"nat_m_lg_dev",7,-0.0577329655225092
"nat_m_lg_dev",8,-0.0434847567866047
"nat_m_lg_dev",9,0.02102943340517
"nat_m_lg_dev",10,-0.295773070081052
"nat_m_lg_dev",11,-0.004980105149309
"nat_m_lg_dev",12,0.156587632568472
"nat_m_lg_dev",13,0.00458543098392508
"nat_m_lg_dev",14,-0.0137255095137546
"nat_m_lg_dev",15,-0.155583139521009
"nat_m_lg_dev",16,0.367844577986747
"nat_m_lg_dev",17,-0.00915040774760341
"nat_m_lg_dev",18,0.130368638556527
"nat_m_lg_dev",19,0.192595028211763
"nat_m_lg_dev",20,-0.164173547370049
"nat_m_lg_dev",21,0.283896982911953
"nat_m_lg_dev",22,0.180522331993703
"nat_m_lg_dev",23,-0.274940724523097
"nat_m_lg_dev",24,-0.176570712964724
"nat_m_lg_dev",25,-0.0464608871820603
"nat_m_lg_dev",26,-0.0480927709413178
"nat_m_lg_dev",27,-0.00748357320008445
"nat_m_lg_dev",28,-0.0795421652161477
"nat_m_lg_dev",29,0.385317885362759
"nat_m_lg_dev",30,0.0583611702666292
"nat_m_lg_dev",31,-0.149964782630066
"nat_m_lg_dev",32,-0.0108895387318754
"nat_m_lg_dev",33,0.234976134342638
"nat_m_lg_dev",34,0.317004521782118
"nat_m_lg_dev",35,0.00168861978669683
"nat_m_lg_dev",36,-0.23910628962272
"nat_m_lg_dev",37,0.100953312794101
"nat_m_lg_dev",38,0.127205661105201
"nat_m_lg_dev",39,-0.138342233493914
"nat_m_lg_dev",40,-0.227109152100482
"nat_m_lg_dev",41,0.0256102081957988
"nat_m_lg_dev",42,0.523497710155173
"q_dev",1,0
"q_dev",2,0
"q_dev",3,0
"q_dev",4,0
"q_dev",5,0
"q_dev",6,0
"q_dev",7,0
"q_dev",8,0
"q_dev",9,0
"q_dev",10,0
"q_dev",11,0
"q_dev",12,0
"q_dev",13,0
"q_dev",14,0
"q_dev",15,0
"q_dev",16,0
"q_dev",17,0
"q_dev",18,0
"q_dev",19,0
"q_dev",20,0
"q_dev",21,0
"q_dev",22,0
"q_dev",23,0
"q_dev",24,0
"q_dev",25,0
"q_dev",26,0
"q_dev",27,0
"q_dev",28,0
"q_dev",29,0
"q_dev",30,0
"q_dev",31,0
"q_dev",32,0
"q_dev",33,0
"q_dev",34,0
"q_dev",35,0
"q_dev",36,0
"q_dev",37,0
"q_dev",38,0
"q_dev",39,0
"q_dev",40,0
"q_dev",41,0
"q_dev",42,0
"q_mat_dev",1,0
"q_mat_dev",2,0
"q_mat_dev",3,0
"q_mat_dev",4,0
"q_mat_dev",5,0
"q_mat_dev",6,0
"q_mat_dev",7,0
"q_mat_dev",8,0
"q_mat_dev",9,0
"q_mat_dev",10,0
"q_mat_dev",11,0
"q_mat_dev",12,0
"q_mat_dev",13,0
"q_mat_dev",14,0
"q_mat_dev",15,0
"q_mat_dev",16,0
"q_mat_dev",17,0
"q_mat_dev",18,0
"q_mat_dev",19,0
"q_mat_dev",20,0
"q_mat_dev",21,0
"q_mat_dev",22,0
"q_mat_dev",23,0
"q_mat_dev",24,0
"q_mat_dev",25,0
"q_mat_dev",26,0
"q_mat_dev",27,0
"q_mat_dev",28,0
"q_mat_dev",29,0
"q_mat_dev",30,0
"q_mat_dev",31,0
"q_mat_dev",32,0
"q_mat_dev",33,0
"q_mat_dev",34,0
"q_mat_dev",35,0
"q_mat_dev",36,0
"q_mat_dev",37,0
"q_mat_dev",38,0
